employee_id,zone,region,urbanity,home_lat,home_lon,job_family,shift_worker,shift_pattern,offpeak_travel,days_on_site_per_week,commute_days_per_month,age,has_children_under12,car_available,green_attitude,already_has_dticket,field_role,boarding_station,boarding_station_id,access_km,access_mode,access_min,wait_min,ride_and_lastmile_min,transfers,pt_total_min,car_km_still_driven,car_km_one_way,car_total_min,car_cost_eur_month,commute_band,pt_vs_car_min,pt_car_time_ratio,active_mobility_candidate
SYN-00015,Hamburg-Barmbek,Hamburg,urban_core,53.57661,10.04115,Office & Commercial,False,Day (08:00),False,4,15.6,20,False,False,-1.027,False,False,Friedrichsberg,friedrichsberg,0.62,Walk,7.7,4.0,42.0,1,53.8,0.0,16.57,28.7,155.1,46–60 min,25.1,1.87,False
SYN-00016,Hamburg-Poppenbüttel,Hamburg,suburban,53.66815,10.10004,Office & Commercial,False,Day (08:00),False,2,7.8,36,False,False,1.307,True,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,17.5,0,28.5,0.0,5.54,13.3,25.93,≤ 30 min,15.2,2.14,False
SYN-00017,Hamburg-Altona/Ottensen,Hamburg,urban_core,53.55284,9.94691,Production & Technical,True,Early (06:00),True,5,19.5,40,True,True,-0.176,False,False,Stephansplatz,stephansplatz,3.64,Feeder bus,19.9,3.6,43.4,0,66.9,0.0,22.0,31.4,257.35,> 60 min,35.5,2.13,False
SYN-00018,Norderstedt,Kr. Segeberg,suburban,53.68274,9.98811,Production & Technical,True,Late (14:00),True,5,19.5,61,False,False,-1.904,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,16.5,0,27.5,0.0,5.22,12.9,61.1,≤ 30 min,14.6,2.13,False
SYN-00019,Henstedt-Ulzburg,Kr. Segeberg,suburban,53.80684,9.99285,Production & Technical,True,Late (14:00),True,5,19.5,29,False,True,-0.987,False,False,Ulzburg Süd,ulzburg_sued,4.5,Feeder bus,22.5,6.0,36.8,0,65.3,0.0,18.61,25.5,217.79,> 60 min,39.8,2.56,False
SYN-00020,Hamburg-Rahlstedt,Hamburg,suburban,53.61088,10.15045,Field & Sales,False,Day (08:00),False,2,7.8,49,False,True,0.174,False,True,Berne,berne,3.33,Feeder bus,19.0,2.0,63.0,3,84.0,0.0,14.7,22.4,68.8,> 60 min,61.6,3.75,False
SYN-00021,Hamburg-Blankenese/Osdorf,Hamburg,suburban,53.57573,9.80121,Office & Commercial,False,Day (08:00),False,2,7.8,54,False,True,-1.123,True,False,Iserbrook,iserbrook,1.01,Feeder bus,12.0,4.0,71.1,1,87.2,0.0,27.48,31.3,128.61,> 60 min,55.9,2.79,False
SYN-00022,Hamburg-Bramfeld/Farmsen,Hamburg,urban,53.61292,10.10454,Production & Technical,True,Night (22:00),True,5,19.5,34,True,True,0.525,False,False,Wandsbek-Gartenstadt,wandsbek_gartenstadt,4.51,Feeder bus,22.5,3.6,54.7,1,80.8,0.0,12.26,25.8,143.41,> 60 min,55.0,3.13,False
SYN-00023,Bad Oldesloe,Kr. Stormarn,rural,53.81063,10.34736,Office & Commercial,False,Day (08:00),False,3,11.7,38,False,True,-1.212,False,False,Bad Oldesloe,bad_oldesloe,2.46,Feeder bus,16.4,6.0,84.8,2,107.2,0.0,32.53,34.0,228.37,> 60 min,73.2,3.15,False
SYN-00024,Pinneberg,Kr. Pinneberg,suburban,53.66985,9.81454,Lab & R&D,False,Day (08:00),False,5,19.5,44,False,True,-1.878,False,False,Pinneberg,pinneberg,2.09,Feeder bus,15.3,4.0,72.0,1,91.3,0.0,20.78,27.1,243.09,> 60 min,64.2,3.37,False
SYN-00025,Hamburg-Wilhelmsburg,Hamburg,urban,53.51254,10.00082,Office & Commercial,False,Day (08:00),False,4,15.6,26,False,True,1.841,False,False,HafenCity Universität,hafencity_universitaet,3.76,Feeder bus,20.3,2.0,53.3,1,75.6,0.0,26.49,42.0,247.99,> 60 min,33.6,1.8,False
SYN-00026,Hamburg-Niendorf,Hamburg,urban,53.61716,9.91893,Office & Commercial,False,Day (08:00),False,2,7.8,37,True,True,0.632,False,False,Niendorf Markt,niendorf_markt,2.75,Feeder bus,17.2,2.0,50.7,0,69.9,0.0,15.44,28.1,72.26,> 60 min,41.8,2.49,False
SYN-00027,Hamburg-Eppendorf,Hamburg,urban_core,53.59839,9.9915,Lab & R&D,False,Day (08:00),False,5,19.5,56,False,False,-0.217,True,False,Lattenkamp,lattenkamp,0.73,Walk,9.2,2.0,35.3,0,46.4,0.0,14.16,27.2,165.72,46–60 min,19.2,1.71,False
SYN-00028,Norderstedt,Kr. Segeberg,suburban,53.69825,9.96077,Office & Commercial,False,Day (08:00),False,3,11.7,48,True,True,-0.721,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,24.6,0,35.6,0.0,7.8,15.8,54.75,31–45 min,19.8,2.25,False
SYN-00029,Hamburg-Fuhlsbüttel,Hamburg,urban,53.62618,10.00682,Office & Commercial,False,Day (08:00),False,2,7.8,40,False,False,1.648,True,False,Fuhlsbüttel,fuhlsbuettel,1.99,Feeder bus,15.0,2.0,26.5,0,43.5,0.0,9.78,23.6,45.77,31–45 min,19.9,1.84,False
SYN-00030,Hamburg-Billstedt/Horn,Hamburg,urban,53.54525,10.08079,Production & Technical,False,Day (08:00),False,5,19.5,43,True,True,0.725,True,False,Hasselbrook,hasselbrook,4.24,Feeder bus,21.7,4.0,43.8,1,69.5,0.0,21.49,31.1,251.44,> 60 min,38.4,2.23,False
SYN-00031,Hamburg-Bahrenfeld/Lurup,Hamburg,urban,53.57992,9.88453,Production & Technical,False,Day (08:00),False,5,19.5,48,False,True,1.197,False,False,Langenfelde,langenfelde,2.82,Feeder bus,17.5,4.0,60.0,2,81.5,0.0,21.58,31.2,252.51,> 60 min,50.3,2.61,False
SYN-00032,Bargteheide,Kr. Stormarn,rural,53.72596,10.24791,Field & Sales,False,Day (08:00),False,3,11.7,50,False,True,-1.017,False,True,Bargteheide,bargteheide,1.49,Feeder bus,13.5,6.0,73.9,2,93.4,0.0,18.84,25.7,132.24,> 60 min,67.7,3.63,False
SYN-00033,Hamburg-Bramfeld/Farmsen,Hamburg,urban,53.60251,10.08241,Office & Commercial,False,Day (08:00),False,2,7.8,36,False,True,0.301,False,False,Rübenkamp,ruebenkamp,4.04,Feeder bus,21.1,4.0,37.2,1,62.3,0.0,13.07,26.4,61.19,> 60 min,35.9,2.36,False
SYN-00034,Hamburg-Winterhude,Hamburg,urban_core,53.58914,10.03017,Production & Technical,False,Day (08:00),False,5,19.5,59,False,True,0.469,False,False,Alsterdorf,alsterdorf,2.46,Feeder bus,16.4,2.0,33.1,0,51.5,0.0,14.75,27.6,172.62,46–60 min,23.9,1.87,False
SYN-00035,Hamburg-Eimsbüttel,Hamburg,urban_core,53.57557,9.94308,Office & Commercial,False,Day (08:00),False,3,11.7,56,False,True,-0.433,False,False,Kellinghusenstraße,kellinghusenstrasse,4.4,Feeder bus,22.2,2.0,37.8,0,62.0,0.0,19.08,30.1,133.96,> 60 min,31.9,2.06,False
SYN-00036,Hamburg-Niendorf,Hamburg,urban,53.626,9.9472,Production & Technical,False,Day (08:00),False,5,19.5,49,False,True,-0.062,True,False,Hamburg Airport,airport,4.39,Feeder bus,22.2,4.0,38.0,1,64.2,0.0,12.71,26.2,148.74,> 60 min,38.0,2.45,False
SYN-00037,Hamburg-Langenhorn,Hamburg,urban,53.66503,10.01079,Lab & R&D,False,Day (08:00),False,4,15.6,33,False,True,-0.284,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,14.4,0,25.4,0.0,4.57,16.5,42.76,≤ 30 min,8.9,1.54,True
SYN-00038,Hamburg-Eimsbüttel,Hamburg,urban_core,53.57261,9.9398,Production & Technical,True,Early (06:00),True,5,19.5,31,True,True,0.932,True,False,Kellinghusenstraße,kellinghusenstrasse,4.84,Feeder bus,23.5,3.6,37.8,0,64.9,0.0,19.61,30.3,229.48,> 60 min,34.6,2.14,False
SYN-00039,Hamburg-Poppenbüttel,Hamburg,suburban,53.64934,10.09039,Office & Commercial,False,Day (08:00),False,3,11.7,38,False,True,-1.355,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,21.7,0,32.7,0.0,6.87,14.8,48.21,31–45 min,17.9,2.21,False
SYN-00040,Hamburg-Billstedt/Horn,Hamburg,urban,53.54532,10.07614,Office & Commercial,False,Day (08:00),False,4,15.6,43,False,True,0.705,False,False,Hasselbrook,hasselbrook,3.99,Feeder bus,21.0,4.0,43.8,1,68.8,0.0,21.42,31.1,200.54,> 60 min,37.7,2.21,False
SYN-00041,Hamburg-Barmbek,Hamburg,urban_core,53.6,10.03963,Production & Technical,False,Day (08:00),False,5,19.5,23,False,False,0.977,True,False,Sengelmannstraße,sengelmannstrasse,2.12,Feeder bus,15.3,2.0,31.4,0,48.7,0.0,13.07,26.4,152.88,46–60 min,22.3,1.84,False
SYN-00042,Henstedt-Ulzburg,Kr. Segeberg,suburban,53.79679,9.9982,Production & Technical,True,Early (06:00),True,5,19.5,47,True,True,-0.387,False,False,Ulzburg Süd,ulzburg_sued,3.18,Feeder bus,18.5,6.0,36.8,0,61.3,0.0,17.03,24.3,199.31,> 60 min,37.0,2.52,False
SYN-00043,Hamburg-Stellingen/Eidelstedt,Hamburg,urban,53.60318,9.92738,Office & Commercial,False,Day (08:00),False,4,15.6,56,True,True,0.366,False,False,Niendorf Markt,niendorf_markt,2.96,Feeder bus,17.9,2.0,50.7,0,70.5,0.0,16.44,28.7,153.9,> 60 min,41.8,2.46,False
SYN-00044,Hamburg-Volksdorf/Duvenstedt,Hamburg,suburban,53.64427,10.15755,Production & Technical,True,Night (22:00),True,5,19.5,48,False,True,-0.565,True,False,Volksdorf,volksdorf,0.22,Walk,2.8,3.6,73.0,2,79.4,0.0,11.78,19.8,137.82,> 60 min,59.6,4.01,False
SYN-00045,Henstedt-Ulzburg,Kr. Segeberg,suburban,53.77667,9.98265,Production & Technical,True,Late (14:00),True,5,19.5,35,False,False,-0.653,False,False,Ulzburg Süd,ulzburg_sued,0.3,Walk,3.8,6.0,36.8,0,46.6,0.0,14.61,22.3,170.94,46–60 min,24.3,2.09,False
SYN-00046,Hamburg-Neugraben,Hamburg,suburban,53.45951,9.84987,Office & Commercial,False,Day (08:00),False,5,19.5,33,False,True,0.594,False,False,Neugraben,neugraben,2.0,Feeder bus,15.0,4.0,76.7,1,95.6,0.0,38.37,47.0,448.98,> 60 min,48.6,2.03,False
SYN-00047,Hamburg-Winterhude,Hamburg,urban_core,53.60704,10.01646,Production & Technical,True,Early (06:00),True,5,19.5,45,False,False,0.887,True,False,Alsterdorf,alsterdorf,0.46,Walk,5.7,3.6,33.1,0,42.4,0.0,12.29,25.8,143.78,31–45 min,16.6,1.64,False
SYN-00048,Hamburg-Sasel/Wellingsbüttel,Hamburg,suburban,53.65161,10.11972,Production & Technical,False,Day (08:00),False,5,19.5,40,True,True,-0.574,True,False,Poppenbüttel,poppenbuettel,3.1,Feeder bus,18.3,4.0,40.2,0,62.5,0.0,8.41,16.5,98.34,> 60 min,46.0,3.79,False
SYN-00049,Hamburg-Billstedt/Horn,Hamburg,urban,53.52665,10.07226,Production & Technical,True,Early (06:00),True,5,19.5,47,True,True,-0.526,False,False,Billwerder-Moorfleet,billwerder_moorfleet,0.93,Walk,11.6,6.0,62.3,1,79.9,0.0,24.17,41.2,282.83,> 60 min,38.7,1.94,False
SYN-00050,Hamburg-Langenhorn,Hamburg,urban,53.6571,10.00308,Lab & R&D,False,Day (08:00),False,5,19.5,49,False,True,-0.15,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,18.7,0,29.7,0.0,5.91,18.9,69.15,≤ 30 min,10.8,1.57,False
SYN-00051,Hamburg-Niendorf,Hamburg,urban,53.61657,9.94121,Production & Technical,True,Early (06:00),True,5,19.5,54,False,True,-0.602,False,False,Niendorf Markt,niendorf_markt,0.86,Walk,10.8,3.6,50.7,0,65.0,0.0,14.12,27.2,165.15,> 60 min,37.8,2.39,False
SYN-00052,Norderstedt,Kr. Segeberg,suburban,53.70408,9.9779,Production & Technical,False,Day (08:00),False,5,19.5,30,True,False,1.625,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,20.9,0,31.9,0.0,6.61,14.5,77.34,31–45 min,17.4,2.2,False
SYN-00053,Hamburg-Harburg,Hamburg,urban,53.45424,9.96806,Production & Technical,False,Day (08:00),False,5,19.5,44,False,True,0.433,False,False,Harburg Rathaus,harburg_rathaus,1.26,Feeder bus,12.8,4.0,67.2,1,84.0,0.0,35.62,44.7,416.81,> 60 min,39.3,1.88,False
SYN-00054,Hamburg-Billstedt/Horn,Hamburg,urban,53.54942,10.0612,Production & Technical,True,Early (06:00),True,5,19.5,38,False,False,0.231,False,False,Hasselbrook,hasselbrook,2.85,Feeder bus,17.5,6.0,45.8,1,69.4,0.0,20.69,30.8,242.04,> 60 min,38.6,2.25,False
SYN-00055,Hamburg-Stellingen/Eidelstedt,Hamburg,urban,53.59556,9.90253,Production & Technical,True,Early (06:00),True,5,19.5,41,False,True,-0.766,True,False,Stellingen,stellingen,1.88,Feeder bus,14.6,6.0,65.3,1,85.9,0.0,18.77,29.9,219.57,> 60 min,56.0,2.87,False
SYN-00056,Hamburg-Wilhelmsburg,Hamburg,urban,53.48484,10.00186,Production & Technical,False,Day (08:00),False,5,19.5,52,False,False,0.722,False,False,Wilhelmsburg,wilhelmsburg,2.8,Feeder bus,17.4,4.0,60.0,1,81.4,0.0,30.6,43.1,358.0,> 60 min,38.3,1.89,False
SYN-00057,Hamburg-Eppendorf,Hamburg,urban_core,53.58081,9.9728,Production & Technical,True,Early (06:00),True,5,19.5,53,False,False,-0.445,False,False,Kellinghusenstraße,kellinghusenstrasse,1.78,Feeder bus,14.3,3.6,37.8,0,55.7,0.0,17.23,29.1,201.57,46–60 min,26.6,1.91,False
SYN-00058,Hamburg-Wandsbek,Hamburg,urban,53.5894,10.0879,Production & Technical,False,Day (08:00),False,5,19.5,57,True,True,-0.753,False,False,Barmbek,barmbek,3.89,Feeder bus,20.7,2.0,40.5,1,63.2,0.0,15.1,27.8,176.69,> 60 min,35.4,2.27,False
SYN-00059,Hamburg-Langenhorn,Hamburg,urban,53.67011,10.03976,Lab & R&D,False,Day (08:00),False,5,19.5,47,False,False,0.839,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,8.2,0,19.2,0.0,2.6,12.0,30.38,≤ 30 min,7.2,1.6,True
SYN-00060,Hamburg-Langenhorn,Hamburg,urban,53.65433,10.01281,Production & Technical,True,Night (22:00),True,5,19.5,41,False,False,0.554,True,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,18.1,0,29.1,0.0,5.74,18.7,67.12,≤ 30 min,10.4,1.56,False
SYN-00061,Hamburg-Billstedt/Horn,Hamburg,urban,53.5483,10.08431,Production & Technical,True,Late (14:00),True,5,19.5,39,True,True,-2.303,False,False,Hasselbrook,hasselbrook,4.13,Feeder bus,21.4,6.0,45.8,1,73.2,0.0,21.09,31.0,246.7,> 60 min,42.2,2.36,False
SYN-00062,Hamburg-Eimsbüttel,Hamburg,urban_core,53.57358,9.93943,Lab & R&D,False,Day (08:00),False,5,19.5,23,False,False,0.509,False,False,Kellinghusenstraße,kellinghusenstrasse,4.8,Feeder bus,23.4,2.0,37.8,0,63.2,0.0,19.5,30.3,228.18,> 60 min,32.9,2.09,False
SYN-00063,Hamburg-Altona/Ottensen,Hamburg,urban_core,53.56062,9.93926,Lab & R&D,False,Day (08:00),False,5,19.5,57,False,True,0.226,False,False,Hallerstraße,hallerstrasse,4.75,Feeder bus,23.2,2.0,41.4,0,66.6,0.0,21.23,31.0,248.37,> 60 min,35.6,2.15,False
SYN-00064,Hamburg-Blankenese/Osdorf,Hamburg,suburban,53.54938,9.77175,Office & Commercial,False,Day (08:00),False,2,7.8,38,False,True,-0.373,False,False,Blankenese,blankenese,3.77,Feeder bus,20.3,4.0,68.6,1,92.9,0.0,32.01,33.7,149.81,> 60 min,59.2,2.76,False
SYN-00065,Hamburg-Rahlstedt,Hamburg,suburban,53.60837,10.18669,Production & Technical,False,Day (08:00),False,5,19.5,48,True,True,-0.04,False,False,Farmsen,farmsen,7.26,Park+Ride,17.7,2.0,61.3,3,81.0,7.26,17.17,24.4,200.93,> 60 min,56.6,3.32,False
SYN-00066,Hamburg-Altona/Ottensen,Hamburg,urban_core,53.55038,9.90298,Production & Technical,True,Night (22:00),True,5,19.5,49,False,True,-1.576,False,False,Bahrenfeld,bahrenfeld,1.78,Feeder bus,14.3,6.0,61.9,1,82.2,0.0,24.15,32.2,282.6,> 60 min,50.0,2.55,False
SYN-00067,Hamburg-Altona/Ottensen,Hamburg,urban_core,53.55547,9.91897,Production & Technical,True,Early (06:00),True,5,19.5,28,True,True,-2.248,False,False,Sternschanze,sternschanze,4.18,Feeder bus,21.5,3.6,51.3,1,76.4,0.0,22.77,31.7,266.37,> 60 min,44.7,2.41,False
SYN-00068,Hamburg-Volksdorf/Duvenstedt,Hamburg,suburban,53.62929,10.13674,Production & Technical,True,Early (06:00),True,5,19.5,32,False,True,-0.909,False,False,Meiendorfer Weg,meiendorfer_weg,2.61,Feeder bus,16.8,3.6,69.5,2,90.0,0.0,11.81,19.9,138.18,> 60 min,70.1,4.52,False
SYN-00069,Norderstedt,Kr. Segeberg,suburban,53.68736,9.97463,Production & Technical,True,Early (06:00),True,5,19.5,59,False,True,-0.101,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,20.2,0,31.2,0.0,6.38,14.3,74.67,31–45 min,16.9,2.18,False
SYN-00070,Hamburg-Barmbek,Hamburg,urban_core,53.579,10.05625,Office & Commercial,False,Day (08:00),False,3,11.7,45,True,False,-2.925,False,False,Friedrichsberg,friedrichsberg,0.75,Walk,9.4,4.0,42.0,1,55.5,0.0,16.23,28.5,113.93,46–60 min,27.0,1.95,False
SYN-00071,Hamburg-Schnelsen,Hamburg,suburban,53.6183,9.92989,Production & Technical,True,Night (22:00),True,5,19.5,36,False,False,-0.844,False,False,Niendorf Markt,niendorf_markt,1.8,Feeder bus,14.4,3.6,50.7,0,68.7,0.0,14.62,22.3,171.03,> 60 min,46.4,3.08,False
SYN-00072,Hamburg-Barmbek,Hamburg,urban_core,53.59156,10.02733,Office & Commercial,False,Day (08:00),False,5,19.5,41,True,False,-1.556,False,False,Alsterdorf,alsterdorf,2.03,Feeder bus,15.1,2.0,33.1,0,50.2,0.0,14.42,27.4,168.71,46–60 min,22.8,1.83,False
SYN-00073,Quickborn,Kr. Pinneberg,suburban,53.72711,9.88512,Production & Technical,False,Day (08:00),False,5,19.5,54,False,False,-0.543,False,False,Quickborn,quickborn,1.64,Feeder bus,13.9,6.0,42.8,0,62.7,0.0,15.55,23.1,181.91,> 60 min,39.6,2.71,False
SYN-00074,Hamburg-Poppenbüttel,Hamburg,suburban,53.642,10.08184,Production & Technical,False,Day (08:00),False,5,19.5,52,False,True,1.691,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,23.5,0,34.5,0.0,7.45,15.5,87.13,31–45 min,19.0,2.23,False
SYN-00075,Norderstedt,Kr. Segeberg,suburban,53.69839,10.009,Office & Commercial,False,Day (08:00),False,4,15.6,26,False,True,-0.051,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,11.8,0,22.8,0.0,3.74,11.0,35.03,≤ 30 min,11.8,2.07,True
SYN-00076,Hamburg-Sasel/Wellingsbüttel,Hamburg,suburban,53.67209,10.11668,Lab & R&D,False,Day (08:00),False,4,15.6,60,False,False,-0.508,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,20.9,0,31.9,0.0,6.63,14.6,62.09,31–45 min,17.3,2.18,False
SYN-00077,Hamburg-Volksdorf/Duvenstedt,Hamburg,suburban,53.65689,10.17459,Production & Technical,True,Late (14:00),True,5,19.5,53,True,True,0.556,True,False,Volksdorf,volksdorf,2.47,Feeder bus,16.4,3.6,73.0,2,93.0,0.0,12.26,20.3,143.43,> 60 min,72.7,4.58,False
SYN-00078,Hamburg-Billstedt/Horn,Hamburg,urban,53.54753,10.10138,Office & Commercial,False,Day (08:00),False,4,15.6,40,True,True,0.205,False,False,Legienstraße,legienstrasse,1.84,Feeder bus,14.5,2.0,60.9,1,77.4,0.0,21.49,31.1,201.18,> 60 min,46.3,2.49,False
SYN-00079,Hamburg-Altona/Ottensen,Hamburg,urban_core,53.5403,9.9501,Production & Technical,True,Early (06:00),True,5,19.5,29,True,True,0.352,False,False,Stephansplatz,stephansplatz,4.16,Feeder bus,21.5,3.6,43.4,0,68.5,0.0,23.63,32.0,276.43,> 60 min,36.5,2.14,False
SYN-00080,Hamburg-Wilhelmsburg,Hamburg,urban,53.52119,10.00003,Production & Technical,True,Night (22:00),True,5,19.5,54,False,True,0.877,False,False,Meßberg,messberg,3.86,Feeder bus,20.6,3.6,46.1,0,70.2,0.0,25.22,41.5,295.12,> 60 min,28.7,1.69,False
SYN-00081,Hamburg-Billstedt/Horn,Hamburg,urban,53.53156,10.08927,Office & Commercial,False,Day (08:00),False,4,15.6,47,False,True,0.539,False,False,Tiefstack,tiefstack,2.27,Feeder bus,15.8,4.0,57.8,1,77.6,0.0,23.64,32.0,221.24,> 60 min,45.6,2.42,False
SYN-00082,Hamburg-Barmbek,Hamburg,urban_core,53.58598,10.05733,Production & Technical,False,Day (08:00),False,5,19.5,26,False,True,0.905,False,False,Barmbek,barmbek,1.25,Feeder bus,12.8,2.0,40.5,1,55.3,0.0,15.19,27.9,177.7,46–60 min,27.4,1.98,False
SYN-00083,Hamburg-Bergedorf,Hamburg,suburban,53.50194,10.22835,Production & Technical,False,Day (08:00),False,5,19.5,39,True,True,-0.189,True,False,Bergedorf,bergedorf,2.53,Feeder bus,16.6,4.0,70.7,2,91.3,0.0,32.16,42.8,376.23,> 60 min,48.5,2.13,False
SYN-00084,Hamburg-Ohlsdorf,Hamburg,urban,53.61935,10.04537,Office & Commercial,False,Day (08:00),False,2,7.8,64,False,True,-0.563,True,False,Ohlsdorf,ohlsdorf,1.16,Feeder bus,12.5,2.0,29.4,0,43.8,0.0,10.15,24.0,47.49,31–45 min,19.8,1.82,False
SYN-00085,Norderstedt,Kr. Segeberg,suburban,53.71815,9.94817,Production & Technical,False,Day (08:00),False,5,19.5,42,True,True,0.817,False,False,Norderstedt Mitte,norderstedt_mitte,4.01,Feeder bus,21.0,2.0,23.0,0,46.0,0.0,9.91,18.0,115.92,46–60 min,28.0,2.56,False
SYN-00086,Norderstedt,Kr. Segeberg,suburban,53.68343,10.02932,Production & Technical,False,Day (08:00),False,5,19.5,34,True,True,-0.303,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,5.1,0,16.1,0.0,1.61,8.1,18.83,≤ 30 min,8.0,1.99,True
